"full.name" "merged.by.PA" "merged.by.run" "merged.by.algo" "filtered.by" "algo" "expl.var" "rand" "var.imp"
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_1" 1 0.547931
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_2" 1 0.028378
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_5" 1 0.534224
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_6" 1 0.682113
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_7" 1 0.975962
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_8" 1 0.401652
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_14" 1 0.103557
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_18" 1 0.064832
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_1" 2 0.533539
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_2" 2 0.027568
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_5" 2 0.507453
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_6" 2 0.665387
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_7" 2 1
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_8" 2 0.419813
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_14" 2 0.106814
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_18" 2 0.0691079999999999
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_1" 3 0.534607
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_2" 3 0.029227
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_5" 3 0.543027
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_6" 3 0.680537
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_7" 3 0.988221
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_8" 3 0.428095
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_14" 3 0.111289
"MR_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_18" 3 0.065771
