"full.name" "merged.by.PA" "merged.by.run" "merged.by.algo" "filtered.by" "algo" "expl.var" "rand" "var.imp"
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_12" 1 0.640601
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_10" 1 0.242846
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_15" 1 0.045273
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_16" 1 0.18695
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_4" 1 0.179865
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_5" 1 0.256056
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_14" 1 0.017722
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_12" 2 0.63129
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_10" 2 0.23648
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_15" 2 0.041644
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_16" 2 0.177079
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_4" 2 0.155643
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_5" 2 0.26437
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_14" 2 0.019091
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_12" 3 0.663387
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_10" 3 0.259168
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_15" 3 0.040743
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_16" 3 0.197666
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_4" 3 0.165255
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_5" 3 0.275977
"MelQuin_EMmeanByTSS_mergedData_mergedRun_mergedAlgo" "mergedData" "mergedRun" "mergedAlgo" "TSS" "EMmean" "wc2.1_10m_bio_14" 3 0.016964
