x,y,species logistic values
1.0,1.0,0.001604026
2.0,2.0,0.0026516586
3.0,3.0,0.027143484
4.0,4.0,0.016898144
5.0,5.0,0.0039764675
6.0,6.0,0.0027107396
7.0,7.0,0.001761452
8.0,8.0,0.026584579
9.0,9.0,5.620153E-4
10.0,10.0,0.055581715
11.0,11.0,0.007104162
12.0,12.0,0.032721754
13.0,13.0,7.118958E-5
14.0,14.0,0.0070023416
15.0,15.0,0.013061373
16.0,16.0,0.004987844
17.0,17.0,1.7466219E-4
18.0,18.0,2.789243E-4
19.0,19.0,0.054061566
20.0,20.0,1.9061458E-4
21.0,21.0,4.8733207E-5
22.0,22.0,0.0031598122
23.0,23.0,0.03749883
24.0,24.0,0.009100664
25.0,25.0,0.33469397
26.0,26.0,0.028106261
27.0,27.0,0.012930556
28.0,28.0,0.028175073
29.0,29.0,0.5198866
30.0,30.0,1.4665122E-4
31.0,31.0,0.021537734
32.0,32.0,0.042628318
33.0,33.0,0.0031733813
34.0,34.0,0.003118726
35.0,35.0,8.30411E-5
36.0,36.0,0.021253265
37.0,37.0,1.19136974E-4
38.0,38.0,0.021617884
39.0,39.0,0.006137412
40.0,40.0,0.004844727
41.0,41.0,7.6172594E-4
42.0,42.0,0.026483465
43.0,43.0,0.008162101
44.0,44.0,5.0645525E-4
45.0,45.0,0.49844313
46.0,46.0,0.0028141816
47.0,47.0,0.052913565
48.0,48.0,0.030325055
49.0,49.0,0.0032706666
50.0,50.0,5.9112106E-5
51.0,51.0,8.5351523E-4
52.0,52.0,0.0011236666
53.0,53.0,0.17996563
54.0,54.0,0.027620949
55.0,55.0,0.0032392521
56.0,56.0,0.029348245
57.0,57.0,0.0014268968
58.0,58.0,0.092280634
59.0,59.0,0.5093075
60.0,60.0,0.0350363
61.0,61.0,0.062483426
62.0,62.0,0.00883645
63.0,63.0,0.0010375917
64.0,64.0,0.04460456
65.0,65.0,1.5596264E-4
66.0,66.0,0.028956465
67.0,67.0,0.013008322
68.0,68.0,0.0028092247
69.0,69.0,0.0015744881
70.0,70.0,0.02026428
71.0,71.0,0.023326106
72.0,72.0,0.100433365
73.0,73.0,0.0028633017
74.0,74.0,0.0017865002
75.0,75.0,0.07421713
76.0,76.0,0.060905684
77.0,77.0,0.5005402
78.0,78.0,8.6987755E-5
79.0,79.0,0.11075462
80.0,80.0,1.4096426E-4
81.0,81.0,1.830759E-4
82.0,82.0,0.026141657
83.0,83.0,0.0055463095
84.0,84.0,0.003688926
85.0,85.0,0.0027411587
86.0,86.0,0.016394634
87.0,87.0,0.043201283
88.0,88.0,0.0021138494
89.0,89.0,1.1121797E-4
90.0,90.0,0.050601274
91.0,91.0,0.0040221126
92.0,92.0,0.0025793312
93.0,93.0,0.007320008
94.0,94.0,0.016028736
95.0,95.0,0.018742142
96.0,96.0,0.50943714
97.0,97.0,0.001334439
98.0,98.0,0.007990286
99.0,99.0,0.29777464
100.0,100.0,0.0013352231
101.0,101.0,0.0035145706
102.0,102.0,0.0011845974
103.0,103.0,0.0020637966
104.0,104.0,9.074031E-4
105.0,105.0,0.0048738006
106.0,106.0,0.018667288
107.0,107.0,0.001727532
108.0,108.0,1.3042033E-4
109.0,109.0,0.021118276
110.0,110.0,0.0045602014
111.0,111.0,0.006390237
112.0,112.0,1.8442096E-4
113.0,113.0,0.0060446295
114.0,114.0,0.012423429
115.0,115.0,0.08864978
116.0,116.0,0.05719125
117.0,117.0,0.48375887
118.0,118.0,0.51009274
119.0,119.0,0.020408012
120.0,120.0,2.0714344E-4
121.0,121.0,0.019913588
122.0,122.0,0.020558238
123.0,123.0,0.016402923
124.0,124.0,0.007293496
125.0,125.0,9.732044E-4
126.0,126.0,0.34375632
127.0,127.0,0.013836279
128.0,128.0,0.0108576
129.0,129.0,0.002721002
130.0,130.0,0.03583866
131.0,131.0,0.14117797
132.0,132.0,0.012081588
133.0,133.0,0.043632932
134.0,134.0,3.6347346E-4
135.0,135.0,0.022612022
136.0,136.0,5.889269E-4
137.0,137.0,0.2455295
138.0,138.0,0.021728393
139.0,139.0,0.0024978
140.0,140.0,0.003197223
141.0,141.0,3.0308212E-5
142.0,142.0,0.0014748742
143.0,143.0,0.003905235
144.0,144.0,0.0060367533
145.0,145.0,6.274299E-5
146.0,146.0,0.0080807805
147.0,147.0,0.060336843
148.0,148.0,5.9529542E-5
149.0,149.0,3.411491E-4
150.0,150.0,0.005379364
151.0,151.0,0.04785494
152.0,152.0,0.0018857454
153.0,153.0,0.04557329
154.0,154.0,0.01662257
155.0,155.0,0.0010044377
156.0,156.0,0.011895706
157.0,157.0,7.363437E-4
158.0,158.0,0.019538498
159.0,159.0,1.6297914E-4
160.0,160.0,0.004988847
161.0,161.0,0.055720128
162.0,162.0,0.24404918
163.0,163.0,0.35695952
164.0,164.0,0.42278153
165.0,165.0,0.30982837
166.0,166.0,0.0042750845
167.0,167.0,0.103909485
168.0,168.0,0.003140765
169.0,169.0,6.918026E-5
170.0,170.0,0.49713576
171.0,171.0,0.045942176
172.0,172.0,0.052172057
173.0,173.0,2.927057E-4
174.0,174.0,3.655537E-4
175.0,175.0,0.0024274737
176.0,176.0,0.017985372
177.0,177.0,0.0017735462
178.0,178.0,0.03196982
179.0,179.0,0.0031406921
180.0,180.0,0.028058289
181.0,181.0,0.45149425
182.0,182.0,0.034896094
183.0,183.0,0.13631427
184.0,184.0,6.6192495E-4
185.0,185.0,0.0078585325
186.0,186.0,0.021670988
187.0,187.0,0.0014400339
188.0,188.0,0.0015485863
189.0,189.0,0.004221926
190.0,190.0,0.0058457516
191.0,191.0,0.027603569
192.0,192.0,0.029149137
193.0,193.0,0.002018336
194.0,194.0,8.658635E-4
195.0,195.0,0.4816888
196.0,196.0,0.0032402286
197.0,197.0,1.5803351E-4
198.0,198.0,0.012913294
199.0,199.0,0.36987457
200.0,200.0,0.35664225
201.0,201.0,4.982312E-4
202.0,202.0,0.024491573
203.0,203.0,7.4154075E-4
204.0,204.0,6.763367E-4
205.0,205.0,0.30542934
206.0,206.0,0.0010404999
207.0,207.0,0.053459585
208.0,208.0,0.026358798
209.0,209.0,0.24647214
210.0,210.0,0.002953397
211.0,211.0,0.05236115
212.0,212.0,0.01089549
213.0,213.0,0.04988377
214.0,214.0,0.015171527
215.0,215.0,1.7531382E-4
216.0,216.0,0.012449028
217.0,217.0,0.017636618
218.0,218.0,0.030355705
219.0,219.0,0.010877937
220.0,220.0,0.0016188875
221.0,221.0,0.039747424
222.0,222.0,0.025763044
223.0,223.0,0.0025191891
224.0,224.0,0.026715247
225.0,225.0,0.021916687
226.0,226.0,0.0017330687
227.0,227.0,0.20086351
228.0,228.0,0.17965065
229.0,229.0,0.008889409
230.0,230.0,0.04048879
231.0,231.0,0.0027820426
232.0,232.0,0.015469818
233.0,233.0,0.0014383992
234.0,234.0,0.0027766917
235.0,235.0,0.009182115
236.0,236.0,3.908204E-5
237.0,237.0,0.017929485
238.0,238.0,9.6400916E-5
239.0,239.0,6.518062E-4
240.0,240.0,0.0018728146
241.0,241.0,0.0041633043
242.0,242.0,0.018816747
243.0,243.0,5.93275E-4
244.0,244.0,0.0031822347
245.0,245.0,0.027085258
246.0,246.0,0.3156393
247.0,247.0,0.17312822
248.0,248.0,0.0033070522
249.0,249.0,5.594371E-4
250.0,250.0,0.0036107607
251.0,251.0,0.00410884
252.0,252.0,0.088094376
253.0,253.0,0.016826559
254.0,254.0,0.027337726
255.0,255.0,1.9632859E-4
256.0,256.0,0.0021784948
257.0,257.0,0.056441
258.0,258.0,0.20012593
259.0,259.0,6.43843E-4
260.0,260.0,0.0012506046
261.0,261.0,0.0216532
262.0,262.0,0.14336379
263.0,263.0,0.36624697
264.0,264.0,6.453047E-4
265.0,265.0,0.49706683
266.0,266.0,0.011302049
267.0,267.0,0.009982747
268.0,268.0,0.34269762
269.0,269.0,0.002202749
270.0,270.0,0.03228683
271.0,271.0,0.0061281254
272.0,272.0,1.4528305E-4
273.0,273.0,0.0042687356
274.0,274.0,0.012060579
275.0,275.0,0.018406797
276.0,276.0,0.027024955
277.0,277.0,1.978868E-5
278.0,278.0,0.017760934
279.0,279.0,0.027625773
280.0,280.0,0.0079535665
281.0,281.0,0.0017203555
282.0,282.0,0.042827234
283.0,283.0,2.8763822E-4
284.0,284.0,0.3552384
285.0,285.0,0.016123377
286.0,286.0,0.0032610218
287.0,287.0,1.8685519E-4
288.0,288.0,1.8621446E-4
289.0,289.0,0.287644
290.0,290.0,0.0021510625
291.0,291.0,0.3338413
292.0,292.0,0.018615192
293.0,293.0,0.0031006031
294.0,294.0,1.4589087E-4
295.0,295.0,0.003273629
296.0,296.0,0.03359365
297.0,297.0,0.0015366981
298.0,298.0,0.50566083
299.0,299.0,0.011887547
300.0,300.0,8.6669746E-4
301.0,301.0,0.003276628
302.0,302.0,0.029926067
303.0,303.0,0.011341935
304.0,304.0,0.31384483
305.0,305.0,0.15908647
306.0,306.0,0.13618204
307.0,307.0,0.22068973
308.0,308.0,0.027114788
309.0,309.0,0.044576425
310.0,310.0,0.004928675
311.0,311.0,4.2404317E-5
312.0,312.0,0.02946068
313.0,313.0,0.0034892044
314.0,314.0,0.41385746
315.0,315.0,0.021490598
316.0,316.0,2.2021732E-5
317.0,317.0,0.011751317
318.0,318.0,0.022249538
319.0,319.0,0.4426104
320.0,320.0,0.07409688
321.0,321.0,0.0048059933
322.0,322.0,0.02629389
323.0,323.0,0.020684246
324.0,324.0,0.05661805
325.0,325.0,0.02914236
326.0,326.0,0.018724972
327.0,327.0,0.35574204
328.0,328.0,0.014555413
329.0,329.0,0.04296489
330.0,330.0,0.026188074
331.0,331.0,0.03914144
332.0,332.0,0.36475912
333.0,333.0,0.037289076
334.0,334.0,0.40848824
335.0,335.0,1.6642951E-4
336.0,336.0,0.004295456
337.0,337.0,2.7653732E-4
338.0,338.0,0.002351524
339.0,339.0,0.0056502116
340.0,340.0,0.023611452
341.0,341.0,0.012845265
342.0,342.0,0.029076178
343.0,343.0,1.634591E-4
344.0,344.0,0.4641688
345.0,345.0,0.010701048
346.0,346.0,0.08731121
347.0,347.0,0.024821913
348.0,348.0,0.30358025
349.0,349.0,0.025857251
350.0,350.0,7.5477285E-5
351.0,351.0,0.008421492
